"vague","grappe","menage","s01q00a","s01q01","s01q02","s01q03a","s01q03b","s01q03c","s01q04a","s01q04b","s01q05","s01q06","s01q06a","s01q06b__1","s01q06b__2","s01q06b__3","s01q06b__4","s01q06b__5","s01q07","s01q08","s01q09__0","s01q09__1","s01q09__2","s01q09__3","s01q10","s01q11","s01q12","s01q13","s01q14","s01q15","s01q16","s01q16r","s01q17","s01q18","s01q19","s01q20","s01q20a1","s01q20a2","s01q20a3","s01q20b","s01q20c","s01q20d","s01q20e","s01q20f","s01q20g","s01q20h","s01q20i","s01q21","s01q22","s01q24","s01q25","s01q26","s01q27","s01q28","s01q29","s01q31","s01q32","s01q33","s01q34","s01q35","s01q36","s01q37","s01q38","s01q39__1","s01q39__2","s01q39__3","s01q39__4","s01q39__5","s01q23","s01q30"
2,2,5,2,2,2,14,7,1992,,,,,,,,,,,2,1,1,,,,17,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,0,,,2,1,1,5,7,4,1,,0,0,0,0,0,0,,
2,2,5,4,1,3,15,9,2013,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,5,1,1,1,5,4,1983,,,,,,,,,,,2,1,2,,,,25,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,5,7,4,2,1,1,0,,,1,,5000,0,0,0,0,0,,
2,2,5,5,2,3,9999,9999,2011,,,1,2,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,6,1,1,1,18,1,1981,,,,,,,,,,,2,1,2,,,,28,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,5,7,4,2,1,1,0,,,2,2,,0,0,0,0,0,,
2,2,6,4,2,3,1,1,2012,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,6,3,1,3,12,8,2014,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,6,2,2,2,9999,9999,1999,,,,,,,,,,,2,1,1,,,,13,1,1,,1,6,,,2,,3,1,,,,,,,,,,,,3,2,1,1,5,7,4,2,1,1,5,7,4,1,,400,0,0,0,0,0,,
2,2,7,1,1,1,1,1,1987,,,,,,,,,,,2,1,2,,,,28,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,1,5,7,4,2,2,1,8,7,5,1,,1500,0,0,0,0,0,,
2,2,7,4,1,3,12,9,2016,,,1,1,,,,,,,,,,,,,,3,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,7,3,1,3,12,9,2016,,,1,1,,,,,,,,,,,,,,3,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,7,2,2,2,9999,9999,1998,,,,,,,,,,,2,1,1,,,,17,3,1,,1,6,,,2,,2,17,,,,,,,,,,,,9,2,2,1,9,4,1,2,1,4,5,7,4,1,,,0,0,0,0,0,,
2,2,9,3,2,3,28,2,2016,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,9,2,2,2,9999,9999,1994,,,,,,,,,,,2,1,1,,,,18,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,2,5,7,4,2,1,1,0,,,2,2,,0,0,0,0,0,,
2,2,9,1,1,1,9999,9999,1984,,,,,,,,,,,2,1,2,,,,27,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,5,7,4,2,1,1,0,,,2,2,,0,0,0,0,0,,
2,2,9,4,1,3,5,7,2012,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,10,4,1,3,6,10,2015,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,10,1,1,1,9999,9999,1988,,,,,,,,,,,2,1,2,,,,22,1,1,,1,6,,,1,1,1,2,,,,,,,,,,,,3,2,1,2,5,7,4,2,1,1,0,,,1,,200,0,0,0,0,0,,
2,2,10,5,2,3,17,11,2012,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,10,6,1,3,1,1,2011,,,1,1,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,10,2,2,2,9999,9999,1994,,,,,,,,,,,2,1,1,,,,16,1,1,,1,6,,,1,1,3,14,,,,,,,,,,,,9,2,1,1,5,7,4,2,1,1,0,,,1,,200,0,0,0,0,0,,
2,2,10,3,1,3,13,5,2018,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,11,1,2,1,9999,9999,1950,,,,,,,,,,,5,,,,,,18,1,1,,1,6,,,2,,2,15,,,,,,,,,,,,9,2,2,1,9,7,4,2,1,1,0,,,2,2,,0,0,0,0,0,,
2,2,11,2,2,5,20,9,2000,,,,,,,,,,,1,,,,,,,1,1,,1,6,,,2,,2,2,,,,,,,,,,,,3,2,2,1,5,7,4,2,1,1,0,,,1,,0,0,0,0,0,0,,
2,2,11,3,1,5,9999,9999,1996,,,,,,,,,,,1,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,1,5,7,4,2,1,1,0,,,1,,500,0,0,0,0,0,,
2,2,13,1,1,1,1,1,1973,,,,,,,,,,,6,,,,,,25,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,5,7,4,2,2,1,0,,,1,,1000,0,0,0,0,0,,
2,2,16,5,1,3,9999,9999,2006,,,2,,,,,,,,1,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,2,16,2,2,2,1,1,1979,,,,,,,,,,,2,1,1,,,,17,1,1,,1,6,,,2,,3,15,,,,,,,,,,,,3,2,2,1,1,7,4,2,1,1,0,,,2,2,,0,0,0,0,0,,
2,2,16,1,1,1,1,1,1969,,,,,,,,,,,2,1,2,,,,20,1,1,,1,6,,,2,,3,15,,,,,,,,,,,,5,2,2,1,1,7,4,2,1,1,0,,,1,,1000,0,0,0,0,0,,
2,2,16,4,1,3,9999,9999,2008,,,2,,,,,,,,1,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,2,16,3,2,3,9999,9999,2011,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
1,3,2,2,2,2,1,1,1997,,,,,,,,,,,3,1,1,,,,18,1,1,,1,6,,,1,1,3,2,,,,,,,,,,,,9,2,1,2,5,7,4,2,1,1,0,,,1,,2000,0,0,0,0,0,,
1,3,2,1,1,1,9999,9999,1982,,,,,,,,,,,3,1,2,,,,26,3,1,,1,6,,,2,,2,33,,,,,,,,,,,,5,2,1,6,10,9,8,2,1,1,0,,,1,,1000,1,0,0,0,0,,
1,3,2,3,2,8,9999,9999,2015,,,2,,,,,,,,,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,1,9,7,4,1,,,,,,,,,,,,,,,2
1,3,3,3,1,3,1,1,2011,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
1,3,3,4,2,3,9999,9999,2009,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
1,3,3,2,2,2,1,1,1987,,,,,,,,,,,2,1,1,,,,15,1,1,,1,6,,,2,,2,15,,,,,,,,,,,,9,2,2,1,1,7,4,2,1,1,9,5,6,2,2,,0,0,0,0,0,,
1,3,3,1,1,1,9999,9999,1970,,,,,,,,,,,2,1,2,,,,26,2,1,,1,6,,,1,1,3,1,,,,,,,,,,,,3,2,2,1,1,7,4,2,2,1,0,,,1,,1000,0,0,0,0,0,,
1,3,3,6,1,3,9999,9999,2003,,,,,,,,,,,1,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
