"vague","grappe","menage","s11q01","s11q02","s11q03__1","s11q03__2","s11q03__3","s11q04","s11q05","s11q06","s11q07","s11q08","s11q09a","s11q09b__0","s11q09b__1","s11q09b__2","s11q09b__3","s11q09b__4","s11q09b__5","s11q09b__6","s11q09b__7","s11q09b__8","s11q09b__9","s11q09b__10","s11q09b__11","s11q09b__12","s11q09b__13","s11q09b__14","s11q09b__15","s11q10","s11q11","s11q12","s11q13","s11q14","s11q15","s11q16","s11q17","s11q18","s11q19","s11q20","s11q21","s11q22","s11q23","s11q24a","s11q24b","s11q25","s11q26","s11q27a","s11q27b","s11q28","s11q29a","s11q29b_heure","s11q29b_minute","s11q30","s11q31a","s11q31b_heure","s11q31b_minutes","s11q32","s11q33__1","s11q33__2","s11q33__3","s11q33__4","s11q33__5","s11q33__6","s11q33__7","s11q34","s11q35","s11q36","s11q37a","s11q37b","s11q38","s11q39","s11q40","s11q41","s11q42","s11q43","s11q44","s11q45a","s11q45b","s11q46","s11q47","s11q48a","s11q48b","s11q49","s11q50","s11q51","s11q52a","s11q52b","s11q53__1","s11q53__2","s11q53__3","s11q53__4","s11q53__5","s11q53__6","s11q53__7","s11q53__8","s11q54","s11q55","s11q56","s11q57","s11q58","s11q59","s11q60","s11q61","s11q62","s11q63","s11q64__1","s11q64__2","s11q64__3","s11q64__4","s11q64__5","s11q64__6","s11q64__7","s11q65","s11q66","s11q67","s11q68","s11q00"
2,4,9,4,5,0,0,0,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,5000000,2,,2,7,5,3,2,,,,1,3000,4,4,30,1,0,3,30,1,0,3,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,2,8,2,,4,2,4,1,,,,,,,,,,,,,,1
2,4,11,3,2,0,0,1,5,10000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,5,2,2,,,,1,15750,16,16,0,,,,0,,,,2,,,,,,,,2,,5,11000,2,1,1,4,2,2,2,,,,2,,,,,2,,,,0,0,2,1,0,0,0,0,5,4,1,2,2,1,4,2,,,,,,,,,,,,,,1
2,4,12,1,4,0,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,3000000,2,,2,1,3,2,1,,4200,2,2,,2,2,0,,,,0,,,,2,,,,,,,,1,,1,12000,3,1,1,2,2,3,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,2,8,2,,4,1,4,1,,,,,,,,,,,,,,1
2,4,13,2,2,0,0,0,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,900000,2,,2,7,5,3,2,,,,1,15000,4,4,100,2,0,5,100,2,0,5,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,2,6,2,,2,2,4,,,,,,,,,,,,,,,2
2,4,14,5,1,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,5,3,2,,,,2,,4,4,120,2,0,8,120,2,2,8,2,,,,,,,,4,,,,,1,1,2,1,3,2,,,,2,,,,,2,,,,0,2,1,0,0,0,0,0,5,8,2,,4,4,4,,,,,,,,,,,,,,,1
2,4,15,1,5,1,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,10000000,2,,2,1,3,2,2,,,,1,30000,4,4,800,10,0,5,800,10,0,5,2,,,,,,,,1,,1,31500,2,1,1,2,1,2,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,2,5,2,,2,1,4,2,,,,,,,,,,,,,,1
1,5,1,2,3,0,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,40000,2,,2,7,7,2,1,,3000,2,2,,1,1,0,,,,0,,,,2,,,,,,,,2,,1,3000,2,1,1,4,2,5,2,,,,2,,,,,2,,,,0,2,1,0,0,0,0,0,6,1,2,,2,1,4,2,,,,,,,,,,,,,,1
1,5,2,4,3,0,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,4000000,2,,2,7,5,2,2,,,,1,12000,4,4,100,5,0,5,100,10,0,10,2,,,,,,,,1,,1,4100,2,1,1,3,1,1,2,,,,2,,,,,2,,,,0,1,2,0,0,0,0,0,2,4,2,,4,4,4,,,,,,,,,,,,,,,1
1,5,3,2,8,1,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,7000000,2,,1,1,3,2,1,,2000,2,2,,1,1,0,,,,0,,,,2,,,,,,,,1,,1,22000,2,1,1,4,1,1,2,,,,2,,,,,2,,,,0,1,2,0,0,0,0,0,2,5,2,,4,1,4,1,,,,,,,,,,,,,,1
1,5,4,1,4,1,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,70000,2,,2,4,3,2,2,,,,2,,1,1,0,,,,0,,,,2,,,,,,,,1,,1,18000,2,1,1,4,2,5,2,,,,2,,,,,2,,,,0,0,1,2,0,0,0,0,6,1,2,,2,1,4,,,,,,,,,,,,,,,1
