"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"NER",10006,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,1,0,0,0
"NER",10007,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,1,0,0,1,0,0
"NER",10008,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0
"NER",10009,4,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",10010,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,0,1,0,1,0,0
"NER",10011,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",10012,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0
"NER",11001,3,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",11002,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,,0,7,0,0,0,1,0,0,0,0,0
"NER",11003,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,,,,,,,0,0,1,0,0,0
"NER",11004,3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",11005,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0
"NER",11006,3,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",11007,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,,,,,,,0,0,0,0,0,0
"NER",11008,3,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",11009,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",11010,3,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",11011,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,,,,,,,1,0,0,0,0,0
"NER",11012,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,,0,4,0,0,0,1,0,0,0,0,0
"NER",12001,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,39,0,0,0,0,1,0,0,0,0
"NER",12002,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,11,0,0,0,0,0,0,0,0,0
"NER",12003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,12,0,0,0,0,1,0,0,0,0
"NER",12004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,20,0,0,0,0,1,0,0,0,0
"NER",12005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,13,0,0,0,0,1,1,0,0,0
"NER",12008,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,60,0,0,0,0,1,1,0,0,0
"NER",12011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30,55,0,0,0,0,1,1,0,0,0
"NER",12012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,15,0,0,0,0,1,1,0,0,1
"NER",12014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,14,0,0,0,0,1,1,0,0,0
"NER",12015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19,25,0,0,0,0,1,0,0,0,0
"NER",12016,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,24,0,0,0,0,1,0,0,0,0
"NER",13001,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,0,3,0,0,0,0,1,0,0,0,0
"NER",13002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,27,0,0,0,0,1,0,0,0,1
"NER",13003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,40,0,0,0,0,1,0,0,0,0
"NER",13004,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",13005,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,2,0,0,0,0,1,0,0,0,0
"NER",13006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,31,0,0,0,1,1,0,0,0,0
"NER",13007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,52,0,0,0,0,1,1,0,0,0
"NER",13008,4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,0,1
"NER",13009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,33,0,0,0,0,1,0,0,0,0
"NER",13010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,28,0,0,0,0,1,0,0,0,0
"NER",13011,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,15,0,0,9,0,0,0,0,0,0
"NER",13012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,10,0,0,0,0,1,0,0,0,0
"NER",14001,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,50,0,0,0,0,1,0,0,0,0
"NER",14003,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",14004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8,0,0,0,0,0,0,0,0,0
"NER",14005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,14,0,0,0,1,1,0,1,0,0
"NER",14006,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,344,0,0,0,0,1,0,1,0,0
"NER",14007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100000004749745,1,6,0,0,0,0,1,0,1,0,0
"NER",14008,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,1,1,0,0,0,0
"NER",14009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,1,0,0
"NER",14010,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0
"NER",14011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,1,0,0,0,0
"NER",14012,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,4,0,0,0,0,1,0,0,0,0
"NER",14015,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,0,0
"NER",15001,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230859007686377,,,,,,0,1,1,0,0,0
"NER",15002,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0
"NER",15003,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,60,0,0,0,0,1,0,0,1,0
"NER",15004,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.87304800376296,0,16,0,0,0,0,1,0,0,0,0
"NER",15005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59446700662375,0,20,0,0,0,1,1,0,0,0,0
"NER",15006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332452701404691,2,64,0,0,0,1,0,0,0,0,1
"NER",15007,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,0,0,0,0,0,0,0,0,1
"NER",15008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1,1,0,0,0,0
"NER",15009,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830000013113022,,,,,,0,1,0,0,0,0
"NER",15010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.153470996767282,,,,,,0,1,0,0,0,0
"NER",15011,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,0,0
"NER",15012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,65,0,0,0,0,1,0,0,0,0
"NER",16002,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,0
"NER",16003,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,0,0,0,0,1,0,0,0,0
"NER",16004,2,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,0,4,0,0,0,0,1,0,0,0,0
"NER",16005,2,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,,0,12,0,0,0,1,1,0,0,0,0
"NER",16006,3,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,,,,,,,0,0,0,0,0,0
"NER",16007,3,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,,,,,,,0,0,0,0,0,0
"NER",16008,4,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,,0,11,0,0,8,1,1,0,0,0,0
"NER",16009,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,,,,,,,0,0,0,0,0,0
"NER",16010,2,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0
"NER",16011,4,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",16012,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,,,,,,,0,0,0,0,0,0
"NER",16015,2,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,,0,8,0,0,0,0,1,0,0,0,0
"NER",17001,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,0,0,0,0,1,0,0,0,0
"NER",17002,2,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,,0,5,0,0,0,0,0,0,1,0,0
"NER",17003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442095004022121,0,13,0,0,0,0,1,0,0,0,0
"NER",17004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314590007066727,0,23,0,0,0,0,1,0,0,0,0
