"vague","grappe","menage","s17q00","s17q01","s17q02","s17q03","s17q51","s17q38b","s17q34b","s17q04","s17q05","s17q06","s17q07a1","s17q07b1","s17q07c1","s17q07d1","s17q07e1","s17q07a2","s17q07a3","s17q07a4","s17q07b2","s17q07b3","s17q07b4","s17q07c2","s17q07c3","s17q07c4","s17q07d2","s17q07d3","s17q07d4","s17q07e2","s17q07e3","s17q08","s17q09","s17q10","s17q11","s17q12","s17q13","s17q14","s17q15__0","s17q15__1","s17q16","s17q17","s17q18a","s17q18b","s17q18c","s17q18d","s17q18e","s17q18f","s17q18g","s17q18h","s17q18i","s17q19","s17q20","s17q21","s17q22__0","s17q22__1","s17q23","s17q24a","s17q24b","s17q25","s17q26","s17q27__0","s17q27__1","s17q28","s17q29","s17q30","s17q31a","s17q31b","s17q32a","s17q32b","s17q33","s17q34a","s17q35","s17q36__0","s17q36__1","s17q37","s17q38a","s17q39","s17q40","s17q41__0","s17q41__1","s17q42","s17q43","s17q44","s17q45","s17q46","s17q47__0","s17q47__1","s17q48","s17q49","s17q50","s17q52","s17q53","s17q54","s17q55","s17q56","s17q57","s17q58","s17q59","s17q60","s17q61"
2,72,4,1,"Ovins (Moutons)",2,1,,,,1,17,17,1,,,,,17,1,2,,,,,,,,,,,,0,,2,1,100,83000,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,15000,2,,,2,,2,,2,
2,72,5,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3000,2,,,2,,2,,2,
2,72,5,1,"Caprins (Chèvres)",3,1,,1,,1,6,6,1,,,,,6,1,2,,,,,,,,,,,,0,,4,1,100,26500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,3,5,0.25,1,0,,2,,,,,1,0.5,2,,,,,,,,,,,,2,,14000,2,,,2,,1,5000,2,
2,72,5,1,"Camelins (Chameaux)",4,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5000,2,,,2,,2,,2,
2,72,5,1,"Ovins (Moutons)",2,1,4150,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,2,1,100,25000,0,1,,1,1,0,0,0,0,0,0,1,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,12000,2,,,2,,1,650,2,
2,72,7,1,"Poules / poulets",9,1,,,,3,4,4,5,,,,,4,1,2,,,,,,,,,,,,0,,0,,,,,,,1,3,0,0,0,0,0,0,0,0,4,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2000,2,,,2,,2,,2,
2,72,7,1,"Caprins (Chèvres)",3,1,,1,,3,5,5,3,,,,,5,1,2,,,,,,,,,,,,0,,5,3,100,116500,1000,3,,1,3,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,1,2,7,0.5,1,0,,2,,,,,1,0.5,2,,,,,,,,,,,,2,,30000,2,,,2,,2,,2,
2,72,8,1,"Ovins (Moutons)",2,1,,,,2,4,4,1,,,,,4,1,2,,,,,,,,,,,,0,,1,1,100,16500,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20000,2,,,2,,2,,2,
2,72,8,1,"Bovins",1,1,,1,,2,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,2,1,100,270000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,11,1,1,0,,2,,,,,1,0.5,2,,,,,,,,,,,,2,,35000,2,,,2,,2,,2,
2,72,8,1,"Camelins (Chameaux)",4,1,,,,2,1,1,2,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,35000,2,,,2,,2,,2,
2,72,8,1,"Caprins (Chèvres)",3,1,,,,2,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,2,1,100,27500,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13000,2,,,2,,2,,2,
2,72,9,1,"Asins (Anes)",6,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,15000,2,,,2,,2,,2,
2,72,9,1,"Bovins",1,1,,,,1,30,30,1,,,,,30,1,2,,,,,,,,,,,,0,,5,1,100,529000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,60000,2,,,1,0,2,,2,
2,72,9,1,"Caprins (Chèvres)",3,1,,,,1,20,20,1,,,,,20,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,72,9,1,"Equins (Chevaux)",5,1,15000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,11000,2,,,2,,2,,2,
2,72,9,1,"Ovins (Moutons)",2,1,,,,1,15,15,1,,,,,15,1,2,,,,,,,,,,,,0,,2,1,100,29500,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,15000,2,,,2,,1,1500,2,
2,72,9,1,"Poules / poulets",9,1,,,,1,7,7,1,,,,,7,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,2,2,0,0,0,0,0,0,0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2000,2,,,2,,1,500,2,
2,72,10,1,"Caprins (Chèvres)",3,1,,,,1,6,6,2,,,,,6,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20000,2,,,2,,2,,2,
2,72,10,1,"Bovins",1,1,,2,,1,30,30,1,,,,,30,1,2,,,,,,,,,,,,0,,6,1,100,850000,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,1,15,4,1,2,0,,2,,,,,1,5,2,,,,,,,,,,,,2,,45000,2,,,2,,1,500,2,
2,72,10,1,"Equins (Chevaux)",5,1,3000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,33000,2,,,2,,2,,2,
2,72,11,1,"Ovins (Moutons)",2,1,,,,1,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,30000,2,,,2,,2,,2,
2,72,11,1,"Caprins (Chèvres)",3,1,,,,1,8,8,1,,,,,8,1,2,,,,,,,,,,,,0,,6,1,100,75000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,26000,2,,,2,,2,,2,
2,72,12,1,"Equins (Chevaux)",5,1,2000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,60000,2,,,2,,2,,2,
2,72,12,1,"Bovins",1,1,,,,1,20,20,1,,,,,20,1,2,,,,,,,,,,,,0,,3,1,100,400000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,10,4,1,1,1,1,2,,,,,2,,,,,,,,,,,,,,2,,80000,2,,,1,3500,1,2000,2,
2,72,12,1,"Caprins (Chèvres)",3,1,,,,1,15,15,2,3,4,,,5,1,1,3,1,1,7,1,2,,,,,,0,,3,4,100,35000,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,40000,2,,,2,,2,,2,
1,73,1,1,"Caprins (Chèvres)",3,1,2000,,,1,8,8,1,,,,,8,1,2,,,,,,,,,,,,0,,1,1,100,8500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1500,2,,,2,,1,1000,2,
1,73,1,1,"Equins (Chevaux)",5,1,7000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,4000,2,,,2,,2,,1,1500
1,73,2,1,"Caprins (Chèvres)",3,1,1000,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,1,25000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5000,2,,,2,,2,,2,
1,73,4,1,"Ovins (Moutons)",2,1,30000,,,2,3,3,1,,,,,3,1,2,,,,,,,,,,,,3,35000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,25000,2,,,2,,2,,2,
1,73,6,1,"Equins (Chevaux)",5,1,9500,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5000,2,,,2,,2,,2,
1,73,8,1,"Ovins (Moutons)",2,1,8000,,,1,0,,,,,,,,,,,,,,,,,,,,,0,,37,1,100,150000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,90000,2,,,2,,2,,2,
1,73,9,1,"Caprins (Chèvres)",3,1,1500,,,1,3,2,1,,,,,2,1,2,,,,,,,,,,,,0,,2,1,100,23500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,42000,2,,,2,,2,,2,
1,73,12,1,"Caprins (Chèvres)",3,1,1500,,,2,5,5,2,1,,,,1,1,1,4,1,2,,,,,,,,,0,,2,1,100,30000,0,2,,1,1,0,0,0,0,0,0,0,0,1,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,90000,2,,,2,,2,,2,
2,74,1,1,"Ovins (Moutons)",2,1,5000,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,1,1,100,46500,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,8000,2,,,2,,2,,2,
2,74,2,1,"Ovins (Moutons)",2,1,6000,,,1,24,24,1,2,,,,17,1,1,7,2,2,,,,,,,,,0,,3,1,100,48500,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7000,2,,,2,,2,,2,
2,74,2,1,"Camelins (Chameaux)",4,1,10000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,9000,2,,,2,,1,500,2,
2,74,2,1,"Equins (Chevaux)",5,1,5000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4000,2,,,2,,1,300,2,
2,74,2,1,"Asins (Anes)",6,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5000,2,,,2,,2,,2,
2,74,2,1,"Bovins",1,1,,2,,1,25,25,1,,,,,25,1,2,,,,,,,,,,,,0,,3,1,100,275000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,7,4,1,2,0,,2,,,,,1,5,2,,,,,,,,,,,,2,,15000,2,,,2,,1,3000,2,
2,74,2,1,"Caprins (Chèvres)",3,1,,,,1,13,13,1,,,,,13,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,74,3,1,"Ovins (Moutons)",2,1,18000,,,1,13,13,1,,,,,13,1,2,,,,,,,,,,,,0,,3,1,100,78000,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,10000,2,,,2,,1,700,2,
2,74,3,1,"Caprins (Chèvres)",3,1,5000,,,1,8,8,1,,,,,8,1,2,,,,,,,,,,,,0,,1,1,100,17500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6000,2,,,2,,2,,2,
2,74,4,1,"Ovins (Moutons)",2,1,,,,1,30,30,1,2,,,,25,1,1,5,1,2,,,,,,,,,0,,8,1,100,150000,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,40000,2,,,2,,2,,2,
2,74,4,1,"Caprins (Chèvres)",3,1,,,,1,15,15,1,,,,,15,1,2,,,,,,,,,,,,0,,4,1,100,60000,0,1,,1,1,1,0,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,25000,2,,,2,,2,,2,
2,74,5,1,"Ovins (Moutons)",2,1,12000,,,1,4,4,1,,,,,4,1,2,,,,,,,,,,,,0,,1,1,100,42500,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,8000,2,,,2,,1,750,2,
2,74,5,1,"Caprins (Chèvres)",3,1,,,,1,5,5,1,2,,,,3,1,1,2,2,2,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5000,2,,,2,,2,,2,
2,74,6,1,"Bovins",1,1,,1,,1,10,0,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,9,1,1,1,1,2,,,,,1,1,2,,,,,,,,,,,,2,,55000,2,,,2,,2,,2,
2,74,6,1,"Ovins (Moutons)",2,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,17000,2,,,2,,2,,2,
2,74,7,1,"Caprins (Chèvres)",3,1,,,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,5,1,100,65000,0,1,,1,1,1,0,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,60000,2,,,2,,2,,2,
2,74,7,1,"Ovins (Moutons)",2,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,1,0,0,0,0,1,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20000,2,,,2,,2,,2,
2,74,8,1,"Poules / poulets",9,1,,,,1,4,4,2,,,,,4,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,3,0,0,0,0,0,0,0,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,3000,2,,,2,,2,,2,
2,74,8,1,"Ovins (Moutons)",2,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,2,1,100,26500,200,1,8,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,38000,2,,,2,,1,850,2,
2,74,8,1,"Caprins (Chèvres)",3,1,,,,1,8,8,1,2,,,,4,1,1,4,1,2,,,,,,,,,0,,1,1,100,8500,100,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,15000,2,,,2,,2,,2,
2,74,9,1,"Ovins (Moutons)",2,1,,,,1,6,6,1,,,,,6,1,2,,,,,,,,,,,,0,,4,1,100,65000,0,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,60000,2,,,2,,2,,2,
2,74,9,1,"Caprins (Chèvres)",3,1,,,,1,15,15,1,,,,,15,1,2,,,,,,,,,,,,0,,7,1,100,90000,0,1,,1,1,1,0,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,80000,2,,,2,,2,,2,
2,74,10,1,"Ovins (Moutons)",2,1,,,,1,18,18,1,2,9,,,10,1,1,5,1,1,3,1,2,,,,,,0,,5,1,100,95000,0,1,,1,1,0,2,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,40000,2,,,2,,2,,2,
2,74,10,1,"Bovins",1,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,2,1,100,300000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,35000,2,,,2,,2,,2,
2,74,10,1,"Caprins (Chèvres)",3,1,,,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,6,1,100,70000,0,1,,1,1,1,0,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20000,2,,,2,,2,,2,
2,74,11,1,"Caprins (Chèvres)",3,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,3,1,100,28500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14000,2,,,2,,2,,2,
2,74,11,1,"Ovins (Moutons)",2,1,12000,,,1,6,6,1,,,,,6,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,34000,2,,,2,,2,,2,
2,74,11,1,"Equins (Chevaux)",5,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,17000,2,,,2,,2,,2,
2,74,12,1,"Caprins (Chèvres)",3,1,,,,1,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,1,1,100,6500,100,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8000,2,,,2,,2,,2,
2,74,12,1,"Ovins (Moutons)",2,1,,,,1,4,4,1,,,,,4,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,0,0,0,0,0,1,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,27000,2,,,2,,1,1850,2,
2,74,12,1,"Poules / poulets",9,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,0,0,0,0,0,0,0,3,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,1250,2,,,2,,2,,2,
2,74,12,1,"Bovins",1,1,10000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,20000,2,,,2,,2,,2,
1,75,2,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,2,1,"Caprins (Chèvres)",3,1,,,,1,10,10,1,2,,,,5,1,1,5,1,2,,,,,,,,,0,,4,1,100,50000,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,2,1,"Equins (Chevaux)",5,1,10000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,150000,2,,,2,,2,,2,
1,75,2,1,"Ovins (Moutons)",2,1,3000,,,1,6,6,1,,,,,6,1,2,,,,,,,,,,,,0,,3,1,100,71600,0,1,,1,1,0,2,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,100000,2,,,2,,2,,2,
1,75,2,1,"Poules / poulets",9,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,2,2,0,0,0,0,0,0,3,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,75,3,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,3,1,"Caprins (Chèvres)",3,1,,,,1,6,6,1,2,,,,2,1,1,4,1,2,,,,,,,,,0,,4,1,100,40000,750,1,2,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,4,1,"Ovins (Moutons)",2,1,1500,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,1,1,100,7500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,60000,2,,,2,,2,,2,
1,75,4,1,"Equins (Chevaux)",5,1,6500,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,100000,2,,,2,,2,,2,
1,75,6,1,"Ovins (Moutons)",2,1,2000,,,2,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,60000,2,,,2,,2,,2,
1,75,7,1,"Caprins (Chèvres)",3,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,2,1,100,10000,350,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,8,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,8,1,"Equins (Chevaux)",5,1,5000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,100000,2,,,2,,2,,2,
1,75,8,1,"Ovins (Moutons)",2,1,,,,1,7,7,1,2,,,,5,1,1,2,1,2,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,8,1,"Caprins (Chèvres)",3,1,,,,1,13,13,1,2,,,,7,1,1,6,1,2,,,,,,,,,0,,1,1,100,7000,0,1,,1,1,0,1,0,0,0,0,0,0,2,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,1,2000
1,75,8,1,"Poules / poulets",9,1,1600,,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,1,1,100,1300,0,1,,1,1,2,0,0,0,0,0,0,0,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,12,20000,2,,,2,,2,,2,
1,75,9,1,"Equins (Chevaux)",5,1,10000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7000,2,,,2,,2,,2,
1,75,9,1,"Ovins (Moutons)",2,1,,,,1,40,40,1,2,,,,20,1,1,20,1,2,,,,,,,,,0,,5,2,100,33500,8000,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,9,1,"Caprins (Chèvres)",3,1,,,,1,30,30,1,2,,,,9,1,1,21,1,2,,,,,,,,,0,,2,2,100,26650,650,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,9,1,"Poules / poulets",9,1,,,,1,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,75,11,1,"Asins (Anes)",6,1,,,,1,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,11,1,"Camelins (Chameaux)",4,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,11,1,"Ovins (Moutons)",2,1,,,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,4,1,100,50000,0,1,,1,1,0,2,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,11,1,"Equins (Chevaux)",5,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,11,1,"Caprins (Chèvres)",3,1,,,,1,15,15,1,5,2,7,,8,1,1,3,1,1,2,1,1,2,1,2,,,0,,4,1,100,33000,0,1,,1,1,0,0,0,0,0,0,0,0,1,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,75,11,1,"Bovins",1,1,540000,2,,1,15,10,1,2,7,,,8,1,1,1,1,1,1,1,2,,,,,,0,,4,1,100,500000,16600,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,8,12,1,2,2,2,2,,,,,1,1,1,90000,2,8,,,,,,,,,1,12,16600,2,,,1,0,1,8500,2,
