"vague","grappe","menage","s10q02","s10q03","s10q04","s10q05","s10q06","s10q07","s10q08","s10q09","s10q10","s10q11","s10q01"
1,9,3,2,2,2,2,2,2,2,2,2,0,1
1,9,4,1,2,2,2,2,2,2,2,2,1,2
1,9,5,2,2,2,2,2,2,2,2,2,0,1
1,9,6,2,2,2,1,2,2,2,2,2,1,3
1,9,7,2,2,2,2,2,2,2,2,2,0,2
1,9,8,2,2,2,2,2,1,1,2,1,1,1
1,9,9,1,2,1,1,1,1,1,1,1,1,2
1,9,10,2,2,2,2,2,2,2,2,2,0,1
1,9,11,2,2,2,2,2,2,2,2,2,0,1
1,9,12,1,2,2,2,2,2,2,2,2,1,1
2,10,1,2,2,2,2,2,2,2,2,2,0,1
2,10,2,2,2,2,2,2,2,2,2,2,0,1
2,10,3,2,2,2,1,2,2,2,2,2,1,1
2,10,4,2,2,2,2,2,2,2,2,2,0,1
2,10,5,2,2,2,2,2,2,1,2,2,1,2
2,10,6,2,1,2,2,2,2,2,2,2,1,1
2,10,7,1,2,2,1,2,2,2,2,2,1,1
2,10,8,2,2,2,2,2,2,2,2,2,0,1
2,10,9,2,2,2,2,2,2,2,2,2,0,1
2,10,10,2,2,2,2,2,2,2,2,2,0,1
2,10,11,2,2,2,2,2,2,2,2,2,0,1
2,10,12,2,2,2,2,2,2,2,2,2,0,1
1,11,1,2,2,2,2,2,2,2,2,2,0,1
1,11,2,2,2,2,2,2,2,2,2,2,0,1
1,11,3,1,2,2,2,2,2,2,2,2,1,1
1,11,4,2,2,2,1,2,2,2,2,2,1,1
1,11,5,2,2,1,2,2,2,2,2,2,1,1
1,11,6,1,2,2,2,2,2,2,2,2,1,1
1,11,7,2,2,2,2,2,2,2,2,2,0,1
1,11,8,2,2,2,1,2,2,2,2,2,1,1
1,11,9,2,2,2,2,1,2,2,2,2,1,1
1,11,10,2,2,2,2,2,2,2,2,2,0,1
1,11,11,2,2,2,2,2,2,2,2,2,0,1
1,11,12,1,2,2,2,2,2,2,2,2,1,7
2,12,1,2,2,2,2,2,2,2,2,2,0,1
2,12,2,2,2,2,2,2,2,2,2,2,0,1
2,12,3,2,2,2,2,2,2,2,2,2,0,1
2,12,4,2,2,2,2,2,2,2,2,2,0,1
2,12,5,2,2,2,2,2,2,2,2,2,0,1
2,12,8,2,2,2,2,2,1,2,2,2,1,2
2,12,11,2,2,2,2,2,2,2,2,2,0,1
2,12,12,2,2,2,2,2,2,2,2,2,0,1
2,12,14,2,2,2,2,2,2,2,2,2,0,1
2,12,15,2,2,2,2,2,2,2,2,2,0,1
2,12,16,2,2,2,2,2,2,2,2,2,0,1
1,13,1,1,2,2,2,2,2,2,2,2,1,1
1,13,2,2,2,2,1,2,2,2,2,2,1,1
1,13,3,2,2,2,2,2,2,2,2,2,0,2
1,13,4,1,2,2,2,2,2,2,2,2,1,1
1,13,5,2,2,2,2,2,2,2,2,2,0,1
1,13,6,2,2,2,2,2,2,2,2,1,1,1
1,13,7,1,2,2,2,2,2,2,2,2,1,2
1,13,8,2,1,2,2,2,2,2,2,2,1,2
1,13,9,1,2,2,2,2,2,2,2,2,1,1
1,13,10,2,2,2,2,2,2,2,2,1,1,1
1,13,11,2,2,2,1,2,2,2,2,2,1,1
1,13,12,2,2,2,2,2,2,2,2,1,1,1
2,14,1,2,2,2,1,2,2,2,2,2,1,1
2,14,3,2,2,2,2,2,2,2,2,2,0,1
