"grappe","vague","s00q02","s00q03","s00q04__1","s00q04__2","s00q04__3","s00q04__4","s00q04__5","s00q04__6","s00q04__7","s00q04__8","s00q04__9","s00q05","s00q06"
67,1,1,30,0,1,0,0,0,0,0,0,0,30,1
390,2,1,80,1,0,0,0,0,0,0,0,0,80,1
17,1,1,33,0,0,0,0,0,0,0,0,1,13,3
182,2,1,47,0,0,0,0,0,0,0,0,1,47,1
294,1,1,57,0,1,0,0,0,0,0,0,0,20,1
118,2,1,74,0,1,0,0,0,0,0,0,0,74,1
316,2,1,43,0,0,1,0,0,0,0,0,0,43,4
493,1,1,55,0,0,0,0,0,0,0,0,1,55,1
340,2,2,65,0,0,0,0,0,0,0,0,1,65,1
130,2,1,62,0,0,0,0,0,0,1,0,0,35,1
412,2,1,65,0,1,0,0,0,0,0,0,0,65,2
333,1,1,28,0,0,0,0,0,0,0,0,1,28,1
155,1,1,49,0,0,0,0,0,0,1,0,0,49,1
103,2,1,60,0,1,0,0,0,0,0,0,0,60,1
101,1,1,40,0,0,0,0,0,0,0,0,1,4,2
291,2,1,46,1,0,0,0,0,0,0,0,0,46,1
429,1,1,40,1,0,0,0,0,0,0,0,0,5,1
468,2,1,52,1,0,0,0,0,0,0,0,0,35,4
51,1,1,51,0,0,0,0,0,0,0,0,1,51,1
40,2,1,67,0,1,0,0,0,0,0,0,0,67,1
233,1,1,30,0,0,0,0,0,0,0,0,1,4,1
5,1,2,35,0,0,1,0,0,0,0,0,0,2,3
39,1,2,32,0,0,0,0,0,0,0,0,1,32,1
138,2,1,56,0,0,1,0,0,0,0,0,0,56,3
219,1,1,32,0,0,0,0,0,0,0,0,1,32,1
81,2,1,40,0,1,0,0,0,0,0,0,0,40,1
384,2,1,55,0,0,0,0,0,0,1,0,0,10,1
379,1,1,60,1,0,0,0,0,0,0,0,0,60,1
14,2,1,22,0,1,0,0,0,0,0,0,0,22,1
322,2,1,43,0,0,0,0,0,0,0,0,1,15,2
198,2,1,65,0,1,0,0,0,0,0,0,0,65,1
450,2,1,63,1,0,0,0,0,0,0,0,0,40,2
4,2,1,35,0,0,0,0,1,0,0,0,0,35,3
491,1,1,65,0,1,0,0,0,0,0,0,0,15,1
75,1,1,70,1,0,0,0,0,0,0,0,0,70,1
151,1,1,59,1,0,0,0,0,0,0,0,0,59,1
351,1,1,47,0,1,0,0,0,0,0,0,0,47,1
163,1,1,45,0,0,0,0,0,0,0,0,1,1,1
9,1,1,36,0,0,0,0,0,0,0,0,1,34,1
133,1,2,63,0,0,0,0,0,0,0,0,1,63,3
290,1,2,47,0,0,0,0,0,0,0,0,1,47,1
46,2,2,59,0,1,0,0,0,0,0,0,0,59,1
360,2,1,68,0,0,0,0,0,0,0,0,1,40,2
122,2,1,60,0,1,0,0,0,0,0,0,0,60,1
458,2,1,50,0,1,0,0,0,0,0,0,0,30,1
262,2,1,55,0,0,0,0,0,0,0,0,1,0,1
344,2,1,41,0,1,0,0,0,0,0,0,0,12,1
174,2,1,42,0,1,0,0,0,0,0,0,0,42,1
356,2,1,47,0,0,0,0,0,0,0,0,1,10,2
328,2,2,41,0,0,1,0,0,0,0,0,0,2,4
310,2,2,70,0,0,0,0,0,0,0,0,1,70,1
471,1,1,44,1,0,0,0,0,0,0,0,0,4,2
470,2,1,40,0,1,0,0,0,0,0,0,0,40,2
472,2,2,39,0,1,0,0,0,0,0,0,0,13,3
325,1,1,88,1,0,0,0,0,0,0,0,0,88,1
256,2,1,75,0,1,0,0,0,0,0,0,0,51,1
415,1,1,65,0,1,0,0,0,0,0,0,0,65,1
251,1,1,55,0,0,0,0,0,0,0,0,1,55,1
410,2,1,30,0,0,0,0,0,0,1,0,0,30,1
303,1,1,66,1,0,0,0,0,0,0,0,0,66,1
218,2,1,40,1,0,0,0,0,0,0,0,0,5,1
154,2,1,60,0,0,0,0,0,0,0,0,1,40,1
438,2,1,86,0,1,0,0,0,0,0,0,0,16,1
281,1,1,65,0,0,0,0,0,0,0,0,1,65,1
271,1,1,50,0,0,0,0,0,1,0,0,0,1,1
90,2,1,30,0,0,0,0,0,0,0,1,0,30,1
206,2,1,52,0,0,0,0,0,0,0,0,1,52,3
279,1,1,45,0,0,0,0,0,0,0,0,1,30,1
62,1,2,38,0,0,0,1,0,0,0,0,0,3,4
234,2,1,34,0,1,0,0,0,0,0,0,0,34,1
193,1,1,80,0,0,0,0,0,0,0,0,1,80,1
478,2,1,45,0,0,0,0,0,1,0,0,0,15,3
157,1,1,36,0,0,0,0,1,0,0,0,0,36,2
436,2,1,51,0,1,0,0,0,0,0,0,0,9,1
121,1,1,43,0,0,0,0,0,1,0,0,0,43,1
335,1,2,50,0,1,0,0,0,0,0,0,0,50,1
170,2,1,56,0,1,0,0,0,0,0,0,0,56,1
96,2,1,56,0,1,0,0,0,0,0,0,0,35,1
392,2,1,50,0,0,0,0,0,0,0,1,0,50,1
286,2,1,64,0,1,0,0,0,0,0,0,0,64,1
159,1,1,40,0,0,0,0,0,0,0,0,1,7,1
171,1,1,45,0,0,0,0,0,0,0,0,1,23,1
488,2,1,35,0,0,0,0,0,0,1,0,0,35,3
413,1,1,55,0,0,0,0,0,0,1,0,0,7,1
208,2,1,34,0,0,0,0,0,0,0,0,1,0,1
490,2,1,49,0,0,0,0,0,1,0,0,0,8,1
194,2,1,51,1,0,0,0,0,0,0,0,0,51,1
179,1,1,43,0,0,0,0,0,0,0,0,1,20,1
441,1,1,66,0,1,0,0,0,0,0,0,0,66,2
350,2,2,40,0,0,0,0,0,0,0,0,1,27,1
703,2,2,57,0,0,0,0,0,0,0,0,1,57,2
60,2,1,50,0,1,0,0,0,0,0,0,0,50,1
190,2,1,50,0,1,0,0,0,0,0,0,0,50,1
192,2,1,64,0,0,0,0,0,0,1,0,0,64,2
339,1,1,65,0,0,0,0,0,0,0,0,1,65,1
237,1,2,40,0,0,0,0,0,0,0,0,1,40,1
427,1,1,25,0,0,0,0,0,0,0,0,1,3,1
364,2,2,20,0,0,1,0,0,0,0,0,0,1,4
